ID,Source,Project Name,Date of publication,Project timeline,Theme(s),Theme(s),OGC Tech Trend,,,,,,,,Emerging technology,,,,,,,,,Technology Readiness Level,,,,,,,,,,,,,,Public value,,,,,,,,,,,,,,,,,,Government members delivering Project,Other Members delivering project,Key findings - technology,Key findings - use case,Key findings - governance ,Key findings – open challenges,Key findings - additional notes,link to more info,
P10,https://mobi.cascais.pt/,Mobi Cascais,2016,,Transport ,4.5,1,,,1,,,,,,,,,,,,,,,,,1,1,Portugal,,,,,,,1,Cascais,1,1,1,1,1,,,,,,,,1,,,1,,1,Camara Municipal de Cascais; Comboios de Portugal,ParC; CEiiA; VIA VERDE; Mobi.e; paySimplex; XARD4B; Hertz 24/7 City,"MobiCascais. This is a mobility-as-a-service app (it also includes a smart card and a web
portal) based on mobi.me that enables residents and tourists to reserve; manage; and pay
for bike sharing; moped sharing; smart parking; taxi; ride-hailing; carpooling; electric
vehicle charging; and car sharing. Public transit is free — subsidized by parking fees. ","MobiCascais is the integrated sustainable mobility management system in Cascais; based on an integrating platform for various transport service operators and a network of infrastructures and equipment. Its objective is to offer a diversified and flexible set of mobility solutions and services that meet the needs of the inhabitants; workers; entrepreneurs and visitors of the municipality. 
Since its inception; MobiCascais has sought to promote the use of public transport and soft mobility solutions; having become a national and international example of an integrated; economic; efficient and sustainable mobility system; offering a diverse and complete package of services. options for moving within the county. After its creation; the approximately 210 thousand residents and 1.2 million tourists who come to Cascais have at their disposal bicycles for bike sharing or leisure; buses; scooters; parking spaces; electric chargers and a car sharing service; arising from a partnership with Hertz. All these services in a single application that is more intuitive and offers immediate purchase of any of the available packages.

",MobiCascais is the result of partnering with the public transit company of Cascais; Comboios de Portugal (the national railway corporation); ParC (the local parking operator); CEiiA (a public private research institution); VIA VERDE (a provider of car sharing and other mobility services); Mobi.e (a mobility as a service platform developed by CEiiA); paySimplex (a mobile payment solution); CARD4B Systems (a smart ticketing solution provider); and Hertz 24/7 City (Hertz' car sharing service).,,,,
P11,https://www.siag.it/it/news/il-progetto-agri-ml,Agricultural Machine Learning in South Tyrol,2020,,Agriculture; forestry; fishing and hunting 4.2,4.2,,1,1,1,1,1,1,1,1,1,,,,,,,,,1,,,1,Italy,,,,,1,South Tyrol,,,1,,,1,,1,,,,,,1,1,,,,,1,,SIAG; NTT Data; Microsoft,"Machine learning applied to the detection of the type of crops present in satellite images of cultivated fields. 
The satellite images used were a combination of high-resolution (more expensive); one-shot images from Airbus and low-resolution (free and open source) time-series images from the ESA Sentinel project. Different ML approaches were applied to the two sets of images.

In the implementation phase; NTT DATA used anonymized crop polygons provided by SIAG; retrieving satellite images of the corresponding cultivated fields in the territory of the Autonomous Province of Bolzano. NTT DATA implemented and trained convolutional and recurrent neural network models to model the relationship between satellite images and the types of crops present in the corresponding polygon labels.","Support the disbursement of contributions for agriculture in a more efficient and precise way; in order to allow better management of the provincial budget. Funding contributions from the Autonomous Province of Bolzano act as an important economic incentive for farmers based in South Tyrol. Some provincial contributions vary according to the size of the cultivated area and the type of crop declared by the owner of the farm. The correct allocation of public contributions to farmers living in South Tyrol is therefore an important issue that must be carefully handled to manage public money efficiently.

SIAG; the digital and IT service company of the provincial government; launched the AgriML project to expand control of the type of crops declared on the territory of the Autonomous Province of Bolzano to 100% of the cultivated land.

The second phase of this project involves proposing automations on the control of crop types to verify the correctness of farmers' declarations and subsequent changes in the type of crop. In the future; having these automatic controls available will make it possible for the province to have a proactive control on agricultural land and to anticipate and optimize control activities foreseen by public funding procedures; thus enabling time and cost benefits.",The AgriML project combined competencies and resources from SIAG; NTT DATA; and Microsoft. SIAG was tasked to provide NTT DATA with a sufficient number of polygons containing the type of crops declared by the farms; to accompany the process of creating the prototype so that it reflects the needs of the Autonomous Province of Bolzano; and to evaluate the results obtained. NTT DATA was responsible for selecting the infrastructure and architecture of the ML solution and to implement the solution. NTT DATA used Microsoft Azure Databricks for data-pre-processing and Azure GPU virtual machines. The software code was based on Python; leveraging recent academic papers with codes that were released as open source.,In the prototyping phase; the solution reached 87% classification test accuracy for recurrent neural networks based on temporal low-resolution satellite images and 84% classification test accuracy for convolutional neural networks based on high-resolution satellite images. The next steps will involve continuously improving the algorithms and scaling the solution. The final customer of the application will be the provincial departments of the Autonomous Province of Bolzano; which will carry out a verification check on the types of crop present on fields with apple orchards; vineyards; or grass meadows. The goal is to embed the ML output into the business process; which is based on SAP Grantor Management system.,,,
P12,https://www.tietoevry.com/en/newsroom/all-news-and-releases/other-news/2020/12/tietoevrys-project-with-the-city-of-vaasa-awarded-with-a-silver-price-in-a-european-ranking-of-smart-cities/,Decarbonisation Platform Project in Vaasa,2020,2020-ongoing,Fuel and Energy; Pollution abatement,5.3; 4.3,1,1,1,1,1,1,1,1,,1,,,,,,,,,,1,,1,Finland,,,,,,,1,Vaasa,1,1,1,1,,,,,,,,,1,,,,,1,City of Vaasa,TietoEVRY; Wartsila; Vaasan Sahko,"Azure based data-lake; integration services and tools such as Power BI is currently being used by TietoEVRY to integrate different data sources; model the data and then visualize the insights. Other companies are involved; for instance a Finnish SME providing a video analytics solution to match car number plates with the national car registry hence estimate pollution based on the car model. Another Finnish SME is providing cutting edge information on the city populations; attitudes; behavioural patterns based on consumer studies and a large set of statistical information.  

In addition; the city have provided access to several source of traffic data and the local energy company have co-operated to provide information on Energy and heating.  ",Tool created to allow a real-time view on which climate activities have the most impact on the city landscape. Demonstrate were and how the city's emissions are generated which allows the efficiency of different measures to be simulated and verified. It brings together data from its three biggest carbon emission sources – transportation; heating and electricity consumption – enabling the parties involved to bring about an in-depth understanding of the phenomena behind emissions; as well to target well-planned measures efficiently and track their effectiveness. What would happen to emissions if the temperature in schools was dropped by one degree; or an increase in EV: s by 5 % in the area was achieved? The pilot phase includes approximately 30% of the city’s carbon emission sources.  ,Data sharing: Collaboration between all parties is a quintessential part of the project. The companies and the city are committed to sharing information and offering access to data that has traditionally been held internally. On top of the interface itself; building a collaborative model for the parties involved plays a crucial role.,"Plenty of data is needed for efficient decision-making; such as the scale of emissions from hospitals; schools; transportation and heating; as well as the factors that affect them; but the information is often scattered across different organisations. It’s difficult to estimate the emissions of particular actions beforehand – and so is keeping track of the effectiveness of the changes.

Currently a larger consortium is gathered with 20 different partners from different domains in order to really get a full-scale insight into the data and help building a best-practice library with data-based KPI:s for accelerating the city’s decarbonization.   ",,,
P13,https://resource.esriuk.com/esri-resources/humberside-fire-rescue-service/,Humberside Fire Rescue Service GIS Platform,2020,,Fire Protection Services,3.2,,1,1,1,1,1,1,1,,1,,,,,,,,,,,1,1,United Kingdom,,,,,4,East Riding of Yorkshire; Kingston upon Hull; North and North East Lincolnshire,,,1,1,1,1,,,,,,,,,1,,,1,,,Humberside Fire Rescue Service,ESRI UK,Ability to automate frequently requested reports. Cloud-based GIS services. One part of the new solutions is a self-mapping application called Intelimap that brings together disparate datasets in one place - it allows staff to create custom reports; perform analysis; gain instant access to accurate location information; using any device from any location.  Wide selection of ESRI dashboards. Use historical data; socio-economic care to conduct geospatial analysis to reveal previously unidentified high risk locations. ,Migration to ArcGIS platform that enables employees to access interactive maps and data in real-time (e.g. closest fire hydrant). Can view data end route to incidents; analysis to support prevention campaigns; planning schedules/route optimization for fire safety visits. Enabled the launch of a mobile volunteering solution; collaboration with emergency service providers and community groups during the pandemic. When the UK went into lockdown during the COVID-19 pandemic; Humberside Fire & Rescue Service launched an ArcGIS solution to coordinate the delivery of food and medicine to vulnerable people. Volunteers used an ArcGIS Survey123 app on their mobile devices to record data about parcels delivered and all of the information was visible to the fire service; police; NHS and other voluntary groups on a dedicated ArcGIS Online dashboard. Shields says; “ArcGIS gave us the ability to create and launch a mobile volunteering solution within a matter of days and collaborate effectively with other emergency service providers and community groups to support vulnerable people at the height of the pandemic.”,Support from Esri UK's Professional Services team but solutions largely built in-house by its ICT Development and Projects team. ,Data spread across different systems. ,"Use of GIS storytelling functions to support and encourage data-driven decision making and make data analytics more accessible. Connection to system via remote devices. 

Viewed over 1;000 times in the first three months alone; the Tidal Thames Story Map enables everyone to get a deeper appreciation of the Thames; regardless of where they live. During the COVID-19 pandemic; when travel is highly restricted; the online Story Map gives people from as far away as Japan and the USA the opportunity to learn about the river Thames.",https://greater-thames-estuary-fish-migration-roadmap-tep-thames.hub.arcgis.com/,
P14,https://resource.esriuk.com/esri-resources/thames-estuary-partnership/,Thames Estuary Story Map,2020,,Protection of Biodiversity and Landscape,5.4,,,,1,1,1,1,,,,,,,,,,,,,,1,1,United Kingdom,,,2,Outer London; Essex; ,1,Kent Thames Gateway,,,,,,,,1,,,,,1,,1,,1,,,1,,Thames Estuary Partnership; ESRI,A GIS Story Map provides people with an interactive tour of the Thames; incorporating maps; images; video and information,Using ArcGIS to encourage stakeholders to improve the quality of riverside habits and reopen fish migratory routes that have been blocked for decades. An interactive web app allows users to explore data on fish migratory routes; river barriers and habitats along the Thames and its tributaries. Story map. use case on self education and awareness.,,,Thames Estuary Partnership is now collaborating with stakeholders and using the Fish Migration Roadmap to demonstrate which barriers should be removed or adapted first. It is now possible to make key investment decisions based on a clear understanding of where high quality habitats can be opened up; by the adaptation of specific barriers. “Barriers used to be removed or adapted in an opportunistic way;” explains Bodnar. “Now stakeholders can prioritise the removal of barriers that restrict access to upstream areas where the habitats are good.”,,
P15,https://resource.esriuk.com/esri-resources/severn-trent-water-2/,Severn Trent Water Crowdsourcing App and GIS platform,2020,,Water Supply,6.3; 5.2,1,,1,1,,1,1,,,,,,,,,,,,,,1,1,United Kingdom,4,South West; Yorkshire and Humber; East Midlands; West Midlands; ,,,,,,,1,1,,1,,,,,,,,,1,,,,,1,Severn Trent (state owned water authority),ESRI,The organisation was able to gamify the use of the app by posting who had done the most surveys in a day or a week and who had covered the most distance. Use of GIS platform to capture survey result data - replaced paper based survey. ,Severn Trent Water launched an innovative crowdsourcing app to help it tackle the challenge of water leakage. Used by 200 employees; the ArcGIS-based solution enabled the company to improve the accuracy of its water leakage data; increase the effectiveness of its leakage detection activities and target significant increases in revenue. Real-time visual overview of crowdsourced surveys. ,Use of crowdsourced data to feed GIS platforms. Enabled remote working. ,,Previously equipped with paper print-outs of maps and using basic spreadsheets; the team of volunteers only managed to survey just over 1;500 properties during the three month project.,,
P16,https://resource.esriuk.com/esri-resources/land-and-property-services/,Spatial Northern Ireland - Reval 2020 ,2020,,General Economic; Commercial and Labour Affairs,4.1,,,,1,,1,,,,,,,,,,,,,,,1,1,United Kingdom,1,Northern Ireland,,,,,,,,,,,,1,1,1,1,,1,,1,1,,,,,Ordinance Survey of Northern Ireland - Spatial NI; Department of Finance,ESRI,20;000 public sector employees have access to Spatial NI on their desktops through the Northern Ireland Mapping Agreement and can simply click on an icon to pull accurate geospatial data into their applications in a seamless way. Spatial NI currently comprises 213 LPS web services plus a further 118 external web services from other government bodies. In addition; there are over 30 active applications; driven by Spatial NI; that have been developed by six government departments. Following recent enhancements; the platform now provides Unique Geographic Identifiers within large-scale maps that make it easier for people to link up data sets and monitor changes in data.,Spatial NI is powered by Esri’s ArcGIS platform and has grown dramatically in size and scale since it was first launched. Initially; Spatial NI ran on just two servers; now there are over sixty; all load balanced to meet demand and ensure reliable performance for large numbers of users. Spatial NI currently handles 24 million large-scale base mapping interactions per month and 9 million address searches per year. Members of the public can also explore Spatial NI via a public viewer that is free to use. Each month; over 7;000 people use the pubic viewer; around 50% of whom are new users. Spatial NI gives everyone easy access to information on everything from flooding and the natural environment to winter gritting routes and computer scams. Spatial NI is now widely used within local and central government in Northern Ireland; as well as by utilities; commercial businesses; not-for-profit organisations and the general public. It delivers a wide range of benefits including: The Education Authority has built an application that utilises services hosted on Spatial NI; enabling parents and guardians to check to see if their children are eligible for school transport.  The Department of Finance has used Spatial NI to communicate draft commercial property valuations to business owners in a far more transparent way than was previously possible. During Reval2020; business owners could use a dedicated web app to see their property valuation and compare their valuation to those of other similar business properties nearby. The solution improved customer service; by giving business owners the ability and the time to check their valuations and raise any queries with LPS before business rate charges were finalised.,,,,https://inspire.spatialni.gov.uk/geoportal/catalog/main/home.page,
P17,https://resource.esriuk.com/esri-resources/oxfordshire-county-council-and-oxfordshire-fire-rescue-service/,Oxfordshire Fire and Rescue Safe and Well GIS Service,2019,,Fire Protection Services,3.2,1,1,1,1,,1,1,,,,,,,,,,,,,,1,1,United Kingdom,,,,,1,Oxfordshire,,,1,,1,1,1,1,,,,1,,,1,,,1,1,,Oxfordshire County Council; Oxfordshire Fire and Rescue Service,ESRI,Integration of survey and data visualization automated reporting into GIS platform. ,The GIS team identified the opportunity to redesign the service so that fire crews could capture information on the demographics of their service users and capture this anonymously. A separate questionnaire from the Safe & Well form was created with Survey123; for vulnerable residents to fill out themselves during their visit using the firefighter’s device. This form now collects information on age; ethnicity; religion; sexual orientation and gender identity. GIS platform integrated an overall map view of survey outputs enabling the business support team to easily manage tasks; query datasets and export visit information requested by managers; an interactive dashboard showing the output from anonymised data collected separately to the core Safe & Well questionnaire; relating to Equal Opportunities. Users can check whether the service is being accessed by diverse groups and see how different groups rate the service to ensure the Council is meeting their needs; instantly shows key statistics and data from Safe and Well visits for central reporting to senior management; with no processing time required.,,Oxfordshire County Council’s GIS (Geographic Information Systems) team has an extremely broad brief to provide ICT support across the organisation; including Oxfordshire County Council’s Fire & Rescue Service. This small team assesses requirements and requests; gathers business analysis and provides user support while building interactive dashboards and web and mobile apps for internal and external use. Fire prevention is a core function of the Fire & Rescue Service and is the way in which the Council reduces demand on its services and helps to protect its residents. Safe and Well visits are a key part of prevention work; where firefighters make visits to vulnerable residents to decrease the risk of fire in their homes. Previously; assessment data obtained during home visits had been recorded straight onto spreadsheets; an unwieldy and time-consuming process. This also created a challenge for safeguarding purposes: LGTBQ+ data needs to be collected anonymously ensuring that individuals are not identifiable by tracking down their responses to different questions.,,,
P18,https://resource.esriuk.com/esri-resources/transport-for-west-midlands/,Transport for West Midlands Traffic Management,2020,2020-ongoing,Transport,4.5,1,1,1,1,,1,,,,,,,,,,,,,,,1,1,United Kingdom,1,West Midlands,,,,,,,1,1,1,1,1,1,,,,,,1,1,,,1,,1,Transport for West Midlands,ESRI,Using an ESRI Operations Dashboard; ArcGIS multi-variate choropleth map; Integrating traffic data from Waze; smart travel card data; information on passenger numbers and revenues from transport operators; usage data for park and ride; car parks; rail stations and metro stations; addresses of key workers; anonymized provided by staff and employers; location of priority sites such as hospitals and supermarkets; and census data for areas of high transport dependency. ,Dashboard for the mayor's office and local authorities with up-to-date data to monitor the effectiveness of emergency policies. Able to show whether there are high densities of key workers that depend on public transport network to get to work. Using traffic data - highlighting road safety issues for police. Managing transport resources in the context of the pandemic. Accessible to over 260 local authority employees; the police and other partners using the network. Also shared with Network Rail; Highways England and Department for Transport. Local-national data sharing. Also used to evaluate the success of government stay at home instruction (monitoring usage plus uptake of concessionary travel cards t get food before 9.30am for those sheltering. ,Using privately procured traffic management data in a dashboard for the transport authority,Potential question of access to data from private providers but not document in the case study. Privacy by design: obtained anonymised home locations of key workers provided by their employers and staff,Also planning on building on existing system: By continuing to leverage the capabilities of ArcGIS; TfWM is now extending the functionality of its dashboard to enable it to generate automatic alerts about transport issues for the general public; using links to Satnavs; radio and TV channels; social media and subscription-based news services. ,,
P19,https://resource.esriuk.com/esri-resources/welsh-water/,Dwe Cymru Welsh Water: WaterSource GIS Portal,2020,,Water Supply; Waste Water Management,6.3; 5.2,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,1,United Kingdom,1,Wales,,,,,,,1,1,1,1,1,,,,,,,,1,,,1,,1,Dwr Cymru Welsh Water,ESRI,Development of WaterSource Portal using ArcGIS - centralize data from a wide range of data sources. ,Monitor water quality in catchment areas for Catchment Risk Analysis Team. Spatial and more collaborative system; GIS previously used for asset management -now adding info for water management (crowdsourcing data from different stakeholders. Apps also added for remote surveying.,Previously data collected from raw water sampling and spot samples; now proactive stakeholder programs with farmers and land owners ,,,,
P20,https://resource.esriuk.com/esri-resources/city-of-london-police/,City of London Police: Preventing harmful crime through evidence-based policing,2019,,Police Services,3.1,,1,1,1,,1,,,,,,,,,,,,,,,1,1,United Kingdom,,,,,1,City of London,,,1,1,1,1,,,,,,,,,1,,,1,,,City of London,ESRI; Cambridge University,GIS platform with analytical tool integration such as story map - available to officers in the field. Have been using GIS platform for some time to analyse crime patterns; integrating advanced functionalities including advanced analytics to review crime hotspots. More advanced spatial analytics pinpoint spots with more accuracy and greater precision. ,Evidence-based approach to urban policing enabling more preventative action: info and tools developed for officers in the field as well as for strategic decision making. Case study suggests that; on the basis of this tool; arrets have increased since using the tool as it has enabled insights to help prioritize resources. Analyses hotspots; relative harm by crimes using Cambridge Crime Harm Index - identified handful of 50m2 locations with high proportion of high harm crimes - evidence on where to focus activities. Developed interactive story maps to make more accessible to police officers. Strategy; capacity and service innovation (better more targeted use of finite resources).,Information shared with external organizations such as Crime Prevention Association ,,,,
P21,https://resource.esriuk.com/esri-resources/oxfordshire-county-council/,Oxfordshire County Council: Transforming the delivery of adult care services,2017,2017-ongoing,Sickness and disability; Old age,10.1; 10.2,,,1,1,1,1,,,,,,,,,,,,,,,1,1,United Kingdom,,,,,1,Oxfordshire,,,1,1,1,1,,1,,,,1,,,1,,,1,1,,Oxfordshire County Council,ESRI,Consolidating legacy mapping systems into a single GIS platform. Integration of data from multiple care providers. Development of dedicated apps for different teams with access control so sensitive information can only be accessed by appropriate authorization to ensure GDPR compliance.,Application to development of spatial plan for 2050  to better understand growth of county and social service provision requirements; for example sourcing homecare packages for vulnerable clients. Required pulling data from multiple care providers; assessing needs of ageing population across the county. Previously assessment team at the council recorded assessment data from social workers and health providers onto spreadsheets. Only one person could record data at a time - system 10 years old when volumes of work smaller. Can now see where existing clients receiving care located with new clients waiting to come out of hospital. Additional aspect in progress is looking at routing problems to help care providers optimize their routes and spend less time travelling and increase capacity. This system has also enabled collaboration with Fire and Rescue Service to support safe and well visit program - data collected via app integrated into centralized platform. ,,Collection of sensitive data so needed to be securely managed. ,,,
P22,https://resource.esriuk.com/esri-resources/worcestershire-county-council-3/,Worcestershire County Council: Community Asset Portal,2019,,sickness and disability; old age; survivors; family and children;  unemployment;,10.1; 10.2; 10.3; 10.4 10.5,1,,,1,,,1,,,,,,,,,,,,,,1,1,United Kingdom,,,,,1,Worcestershire,,,1,1,1,,1,1,,,,1,,,1,,,1,1,,Worcestershire County Council,ESRI,Community asset management tool through GPS with three components: app for care workers to capture data about community services in the field; data verification tool; analysis and search tool from web app.,Directory to capture; verify and search information on community-based services (including contact details; address; type of service provision; opening hours). Data captured can help social workers introduce people to local support groups. Shared information across the Adult Social Care team that previously may have been siloed. Connecting citizens to existing services in a more efficient way,,,,,
P23,https://resource.esriuk.com/esri-resources/broads-authority/,Broads Authority: Improving the efficiency of national park maintenance,2019,,Protection of Biodiversity and Landscape,5.4,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,1,United Kingdom,,,1,East Anglia,,,,,1,1,1,1,,,,,,,,,1,,,,,1,Broads Authority,ESRI,GIS; mobile data collection; visualisation and analysis tools for maintenance checks process. Upgrade of existing GIS asset management system,Management of protected wetland site. System to capture information from team of rangers conducting checks on around 110 sites and 200km network of navigable waterway. Previously data from checks collected on sport and spreadsheets then collated into a central database manually. Data collected through system now generates electronic notifications for repairs needed (work flow management) and urgent issues that need to be escalated.,,,,,
P24,https://resource.esriuk.com/esri-resources/northumberland-national-park-authority/,Northumberland National Park Authority Digital Landscape Exhibition,2019,,Protection of Biodiversity and Landscape,5.4,1,1,1,1,1,1,1,,,,,,,,1,,,,,,1,1,United Kingdom,,,,,1,Northumberland,,,1,1,1,1,1,1,,,1,,1,,1,,1,,,1,Northumberland Park Authority,ESRI,GIS tools had been used for some time to collect data from field based employees; GPS devices and drones; 3D terrain model of archaeological features. ,Digital exhibition: Use dashboard to gain insights into trends and manage conservation efforts. Decision to open up visualization tool to public to enable public to learn about different specifics; maintenance of park etc; archaeological spots using story maps. Used tool to demonstrate evidence based decision making; e.g. authority interaction with farmers regarding at-risk habitats.,,,Storytelling; interactive data to engage citizens/ support data-driven decision making,,
P25,https://resource.esriuk.com/esri-resources/dublin-airport/,Passenger Experience at Dublin Airport,2019,,Transport,4.5,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,1,Republic of Ireland,,,,,1,Dublin Region,,,1,1,1,1,1,,,,,,,,1,,,1,,,Dublin Airport,ESRI,GIS asset management tool for operations: mobile; desktop and web-based GIS applications,Field based collection of information and photographs from mobile devices; including airfield inspectors and maintenance teams. Also integration of information of safety incidents. Provides data in real-time to managers to inform operational and strategic decision making; e.g. analysing ways to transport staff after heavy snowfall to keep business continuity. Improvements to health and safety of employees and passengers. Starting to monitor risks for aviation industry such as bird management. (soundtracks in right locations to increase safety of passengers. ,,,,,
P26,https://resource.esriuk.com/esri-resources/cork-county-council/,Cork County Council: Responding to Extreme Weather Events,2018,,Civil defence,2.2,,1,1,1,1,1,1,,,,,,,,,,,,,,1,1,Republic of Ireland,,,,,,,1,Cork,1,1,1,1,1,1,,,,,1,,1,,1,1,,,Cork County Council,ESRI,Already had GIS system for road asset management. Integrated remote asset management; however; added additional features to enable employees to report flooding incidents and support long term planning.  Connected to geographic public alert service -MapAlerter. Internal and external facing planforms. Now; when field-based council employees observe an issue on a road during exceptional weather; they report it to MapAlerter via text; using road segment codes and message templates. (would be simplified by more precise positioning),Asset management for road conditions inked to extreme weather events in real time to improve emergency response. Up-to-date information for emergency responders and public in real-time. Also enables strategic planning by analysing previous data (historical maps and time slider function to understand impact of past events and prioritize road improvements and investment pipeline). MapAlerter is used to inform the public on severe weather events and road closures in real time via text to subscribers as well as posting info on Facebook and twitter accounts. Cork County Council can use the historical maps and time slider functionality of ArcGIS Server to better understand the impacts of past events and use this insight to prioritise road improvements that could help minimise disruption in the future. During major storms; Cork County Council can now play an important role in helping to keep members of the public aware of potential hazards and obstructions on the roads.,ArcGIS Online provides a single point of reference; where all council employees can see the same; accurate; up-to-date view of an emergency situation; in a clear visual format; as incidents unfold. As a result; council managers can make faster decisions about how best to allocate resources to clear fallen trees at the earliest opportunity following the storm. Similarly; if managers can see that both major roads to West Cork are flooded; for example; the council’s emergency team can direct field-based teams to the area as a priority to erect signs to warn the public of the potential danger., Now; when field-based council employees observe an issue on a road during exceptional weather; they report it to MapAlerter via text; using road segment codes and message templates. (would be simplified by more precise positioning),,,
P27,https://resource.esriuk.com/esri-resources/donegal-county-council/,Donegal County Council: Crowd Sourcing Information to Improve Local Planning,2018,,Community Development,6;2,1,,,1,1,1,1,,,,,,,,,,,,,,1,1,Republic of Ireland,,,,,,,1,Donegal,1,1,1,1,1,1,,,1,,1,,1,1,1,1,1,1,Donegal County Council,ESRI,Expand capabilities of GIS system through crowdsource reported and crowdsource manager template: tool developed to augment centrally collected authoritative data with crowdsources information and making it publicly available; ,Donegal County Council commissioned Esri Ireland to develop a solution for capturing local information from members of the public; making it publicly available and incorporating it into the council’s core GIS planning systems. Esri Ireland achieved these goals by using Esri’s ArcGIS Online Crowdsource Reporter and Crowdsource Manager templates to expand the capabilities of the council’s existing ArcGIS platform. Help engage citizens more effectively on planning issues using crowdsourcing technology. Documented impacts include: planning officers making more efficient and better informed decisions on planning applications; citizens play a greater role in the planning process as their views and knowledge captured. GIS central platform already held information important for spatial planning such as special conservation areas and areas of flood risk. Info. collected in the system did not include info from communities; families individuals about certain buildings; fields hedgerows etc. Crowdsource portal developed around key themes from natural environment to transpiration issues to organise content: My Donegal Place. Developers and individuals can access tool to better understand local concerns in their planning applications. Information will be used to town plan review. ,,,,https://donegal.maps.arcgis.com/apps/CrowdsourceReporter/index.html?appid=eef211ff188c4233a61dc57666616b80,
P28,https://resource.esriuk.com/esri-resources/northern-ireland-water/,Norther Ireland Water GIS Platform for Operations and Customer Experience,2018,,Water Supply; Waste Water Management,6.3; 5.2,1,,,1,1,,1,,,,,,,,,,,,,,1,1,United Kingdom,1,Northern Ireland,,,,,,,1,1,1,1,1,,,,,,,,1,,,1,,1,Northern Ireland Water ,ESRI,GIS platform; integrated asset management; mobile device entry,"Asset management system: need for location-based services growing for office-based staff and mobile workforce; integrated workflows across organisation. The enterprise-wide implementation of ArcGIS gives all employees in the organisation instant access to accurate location information; which they can use to help them deliver a more responsive customer service. For instance; the locations of all issues reported by customers are streamed real-time on a web map. Displayed on a four metre screen in the customer call centre; this situational awareness map allows incident managers to better monitor the situation in real-time and react quickly to resolve issues. 

Using Esri’s Survey 123 for ArcGIS; Northern Ireland Water is now developing a new mobile app that will help the company to identify and respond to potential health and safety risks more quickly. Employees will use their smartphones or tablets to collect data in the field about the locations of trenches; equipment; infrastructure and other potential hazards. Whereas this information might previously have taken up to two weeks to be typed up in a report; it will be transferred to head office in real-time; saving time and allowing managers to intervene rapidly if a safety issue is identified.
",,Whereas this information might previously have taken up to two weeks to be typed up in a report; it will be transferred to head office in real-time; saving time and allowing managers to intervene rapidly if a safety issue is identified.,,,
P29,https://resource.esriuk.com/esri-resources/greater-london-authority-2/,Greater London Authority: Collaborative Infrastructure Planning,2017,,Community Development; Transport; Water Supply; Housing Development; multi-functional,6.2; 6.3; 6.1; 4.5,,,,1,1,1,,,,,,,,,,,,,,,1,1,United Kingdom,1,London,,,,,,,1,1,1,1,1,1,1,,,,1,1,1,,,1,,,Greater London Authority,ESRI,Infrastructure Mapping GIS platform to integrate data on cross-sectoral assets,Web app for public and private organisations to make better investment decisions. Documented outcomes include time and cost savings for public and private organisations as they can collaborate more effectively on joint works; reduced road disruption saving £4 million; accelerated home building with utility infrastructure delivered ahead of demand (predictive utility networks). Part of London Infrastructure Plan 2050. Mechanism for infrastructure providers to share long term business plans to coordinate delivery of infrastructure schemes.  The app brings together future investment data on everything from new housing and schools to sewerage and rail services; and shows it alongside relevant contextual data on population growth and; increasingly; capacity requirements. As a result; users can easily see where infrastructure and development is planned—to help them identify opportunities for coordination and evaluate where additional infrastructure investment is needed—in a highly visual map-based format. The app is available in two versions: one limited to infrastructure providers and the public sector; and another for members of the public.,Objective of project to enable a more collaborative approach to infrastructure planning for public and private sector organisations: bringing together water; energy; transport providers; London borough councils; central government departments; engineers; developers and advisors. ,,,https://maps.london.gov.uk/ima/,
P30,https://resource.esriuk.com/esri-resources/lambeth-council/,Lambeth Council:  Open Spatial Data ,2017,, Community Development; Cross-cutting,6.2; cross-cutting,,,,1,1,1,1,,,,,,,,,,,,,,1,1,United Kingdom,,,,,1,Lambeth ,,,,,,,,1,1,,1,,1,,,,,,,,Lambeth Council,ESRI,GIS Open data platform. Hosted web based solution so no investment needed in on-premises hardware. Download options for data include spreadsheets; multiple API codes and kml. Shp. Formats. Solutions allows multiple data sets to be visualized in interactive map. ,Open data platform. Documented results include: council employees save time by not having to respond to freedom of information requests; citizens gain online access to council data in a map-based format; third party organizations harvest open data in a wide choice of formats to suite business needs. Not specific use case rather open data ecosystem platform. Targeted at those with a range of IT skills - GIS professionals and low IT skills. Intention not just to publish data but having it in a range of formats and visualizations to make it more accessible. ,Intention not just to publish data but having it in a range of formats and visualizations to make it more accessible. ,Intention not just to publish data but having it in a range of formats and visualizations to make it more accessible. ,,https://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/,
